prompt_id,project,runner,mode,path,status,notes
prompt-dc91d719,analyst,codex,publication-day-smoke,/Users/rizrazak/Code/the-analyst/Analyst Agentic Harness/Analyst Harness 0.1/09-runners/RUNNER_PROMPT_CODEX_2026_06_28_95585f.md,exported,"v0.1 real dialect smoke: exported prompt only, no runner invocation"
PROMPT-12D9857C,analyst,claude,final-v0.1-smoke,/Users/rizrazak/Code/the-analyst/Analyst Agentic Harness/Analyst Harness 0.1/09-runners/RUNNER_PROMPT_CLAUDE_2026_06_28_0f3dba.md,exported,final v0.1 real dialect smoke: exported prompt only
